,Populacao,Criancas,Jovens,Adultos,Idosos,Populacao_Masculina,Populacao_Feminina,Grau_de_Urbanizacao,Abastecimento_de_Agua,Coleta_de_Lixo,Esgoto_Sanitario ,Percent_Doses_Aplicadas,Estab_por_mil_Hab,Equip_por_mil_Hab,Percent_Equip_em_uso,Densidade_demográfica,Mortalidade_infantil,Renda_per_capita,IDHM,IDHM_Longevidade,IDHM_Educacao,IDHM_Renda,IDHM_Ranking,Indice_Futuridade,Razao_Medico_Pop
347,0.0001832402950042377,0.15586206896551724,0.11448275862068966,0.5066666666666667,0.22298850574712645,0.5075862068965518,0.4924137931034483,0.8726,0.9906999999999999,0.9969,0.9645,0.5940229885057471,0.40142742582197277,0.19370205093531664,0.9230769230769231,0.001523835532747683,0.23075538489230218,0.39406742085460555,0.772,0.8140000000000001,0.773,0.731,0.15968992248062017,0.4501160092807424,0.1526310733506116
348,0.00460080575180755,0.20512726606848564,0.16833913202710127,0.4574070683025087,0.1691265336019044,0.4943233839956052,0.5056766160043948,0.9956,0.9748,0.992,0.32659999999999995,0.41243362021607766,0.11990999603957024,0.0907965574070683,0.9150326797385621,0.027868945921082914,0.14345713085738288,0.34338143076124,0.754,0.8540000000000001,0.6990000000000001,0.7190000000000001,0.3085271317829457,0.5545243619489558,0.148651745393533
349,0.0006528409406840634,0.1583430120015486,0.13214608336559555,0.5167118337850045,0.19279907084785133,0.4985159375403278,0.5014840624596723,0.6229,0.9521999999999999,0.9934999999999999,0.7713,0.3285585236804749,0.28168300785997896,0.25093180903797835,0.9,0.005128955901677768,0.14813703725925484,0.5020332670357374,0.759,0.858,0.6779999999999999,0.752,0.262015503875969,0.38979118329466356,0.05986300032034244
350,0.004078044358473621,0.15758702613366388,0.1274661708501188,0.522983162896395,0.19196364011982234,0.49065179217023036,0.5093482078297696,0.9689,0.9832,0.9971,0.9784999999999999,0.22619564094618325,0.6493496011127047,0.32538398439636157,0.9794238683127572,0.010244538650874147,0.11039779204415912,0.45896094353725125,0.768,0.8590000000000001,0.7070000000000001,0.746,0.1875968992248062,0.8712296983758699,0.16051984348371218
351,0.0019762992368778888,0.15939125245118935,0.12217580356381619,0.5294569016966494,0.18897604228834514,0.4928382641316395,0.5071617358683604,0.9285,0.9926999999999999,0.9991,0.9436,0.448205303094893,0.2915559624623524,0.18512451958360288,1.0,0.003562889361094121,0.02633947321053579,0.49721296730303916,0.785,0.861,0.72,0.7809999999999999,0.07751937984496124,0.5649651972157773,0.1334802254670369
352,0.0015325628535273967,0.1690946072233522,0.13231817931944367,0.5137705458743335,0.18481666758287066,0.4967841240173712,0.5032158759826287,0.9538,0.9784,0.9892,0.9795999999999999,0.36353141663459954,0.3039779446263358,0.3563063398082008,1.0,0.005078278692274612,0.05219895602087958,0.4477558052624245,0.753,0.843,0.69,0.733,0.3209302325581395,0.5580046403712297,0.1147519516612886
353,0.00033623541028133917,0.13781007266349285,0.13755950889501378,0.4901027311450764,0.23452768729641693,0.48985216737659737,0.5101478326234027,0.8359000000000001,0.9991,0.9954999999999999,0.9821,0.5454773239789527,0.18230699305996634,0.09744277565699293,0.9166666666666666,0.001255668632989315,0.15383692326153478,0.35496028478406827,0.741,0.8140000000000001,0.7090000000000001,0.706,0.4604651162790698,0.425754060324826,0.02905777934617474
354,0.00037616915733053855,0.167525195968645,0.16438969764837627,0.484434490481523,0.18365061590145576,0.5144456886898097,0.4855543113101904,0.44409999999999994,0.8935,0.9964,0.7798,0.4105263157894737,0.19554415479569784,0.29758601760973147,0.8048780487804879,0.0009839824825779496,0.32729345413091737,0.34696023411074656,0.71,0.826,0.627,0.6920000000000001,0.827906976744186,0.6357308584686775,0.20778427300440475
355,0.00502238480293454,0.20684738484248666,0.15947596202234374,0.5149964773375382,0.11868017579763143,0.4971315462810749,0.5028684537189251,0.9551000000000001,0.9551000000000001,0.9893000000000001,0.5426,0.45427248632871475,0.15622364342385628,0.16906832649522383,0.9260450160771704,0.01748786034487249,0.07775844483110339,0.34731494736308705,0.733,0.863,0.639,0.713,0.5612403100775194,0.5220417633410672,0.08170434947436009
356,0.0027239196404951786,0.21325621675120623,0.1479648645304961,0.5160831374489669,0.1226957812693307,0.5078869231720896,0.49211307682791045,0.9761,0.9917,0.9936,0.9834,0.5004948657676606,0.3330536526560194,0.17240347085264884,0.9883720930232558,0.0016716440601735555,0.048119037619247615,0.3592611829686965,0.7120000000000001,0.836,0.604,0.716,0.8093023255813954,0.7041763341067285,0.1614076420164621
357,0.0011160387070901778,0.19294934702196723,0.14697667396391637,0.514607080848494,0.14546689816562242,0.4983015022269193,0.5016984977730807,0.9012,0.9319,0.9967,0.8826,0.5214765607307315,0.20871377635304877,0.16146430490366298,0.9393939393939394,0.006533136912223554,0.07895842083158337,0.42267251098977665,0.715,0.802,0.627,0.726,0.7782945736434108,0.4327146171693735,0.08754404572400044
358,0.00039074413251938137,0.17895644674428632,0.14122466580422596,0.5204829667960328,0.15933592065545493,0.5017248814144027,0.49827511858559725,0.7988,1.0,1.0,0.9959,0.3695558430357913,0.15687520683534403,0.1467366765593689,1.0,0.001464008271646735,0.1764564708705826,0.30767574141403903,0.741,0.8590000000000001,0.691,0.685,0.4604651162790698,0.6612529002320185,0.10001690157014523
359,0.0003606674496152375,0.131277738846064,0.1406213501518337,0.4994160242933894,0.22868488670871293,0.49287549637935063,0.5071245036206494,0.6146,0.9967,0.9967,0.9945999999999999,0.3681382854473254,0.20394876224311861,0.2649555033412571,0.9142857142857143,0.0012584840335117123,0.13637727245455092,0.35787400078543646,0.726,0.847,0.643,0.703,0.6604651162790698,0.8375870069605569,0.1526310733506116
360,0.000258726871704834,0.20384239661348094,0.1693259524584826,0.4982090524259199,0.12862259850211658,0.497557798762618,0.5024422012373819,0.9564,1.0,1.0,0.992,0.43731683490719636,0.18953753417188554,0.11608149609567044,0.9090909090909091,0.0007714197431369335,0.12245755084898303,0.29117524101498665,0.7140000000000001,0.79,0.7020000000000001,0.655,0.7891472868217054,0.32830626450116007,0.037762812559616867
